BasketballPass__QP_37_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
/build/buildd/eglibc-2.19/elf/do-rel.h:_dl_relocate_object	61,369	28,687	11,817	12	2,900	112	12	1,314	0
TComRdCost::xCalcHADs4x4	60,800	22,560	13,120	85	130	630	20	0	0
TComPrediction::predIntraAng	60,182	24,254	16,258	705	2,086	229	12	10	0
TComDataCU::getPULeft	59,715	27,042	12,108	777	1,877	249	5	25	4
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	55,664	12,080	10,896	0	2,467	4,917	0	0	0
TAppEncCfg::parseCfg	54,581	25,430	35,026	1,219	2,102	2,707	1,079	1	631
TComRdCost::xGetSSE8	52,888	22,352	19,096	590	614	137	7	10	0
fastForwardDst	52,680	24,120	6,360	140	120	310	9	1	0
operator	52,173	16,054	16,054	57	288	113	2	1	0
std::string::find_first_not_of	50,868	18,095	16,770	2	23	1	2	0	0
getTUEntropyCodingParameters	49,621	21,319	12,173	1,722	2,165	1,515	9	15	47
TEncSbac::estSignificantMapBit	49,310	18,510	8,764	1,365	1,662	1,074	8	20	11
TComTURecurse::nextSection	49,178	22,201	10,791	864	783	380	9	3	2
std::_Rb_tree<std::string,	48,478	16,951	15,541	132	363	126	17	0	0
std::string::_Rep::_S_create	47,737	10,748	12,539	6	211	749	3	0	336
std::basic_string<char,	43,468	15,228	7,564	71	1,072	175	3	1	25
TComTrQuant::getSigCoeffGroupCtxInc	42,900	14,305	3,075	12	66	0	2	1	0
TEncSbac::estCBFBit	41,720	19,370	9,834	2,094	2,978	1,201	9	88	4
__cxxabiv1::__si_class_type_info::__do_dyncast	41,276	18,210	9,712	13	16	94	3	0	0
TComDataCU::getIntraDirPredictor	39,954	11,295	11,808	897	576	265	13	0	3
TEncSearch::xRecurIntraCodingQT	39,763	12,844	10,199	1,434	2,010	1,074	35	0	9
TComTrQuant::transformNxN	38,750	18,666	15,018	2,291	2,222	263	11	29	0
TEncSearch::estIntraPredQT	37,572	12,968	18,514	795	2,707	1,063	82	18	23
TComTU::TComTU	36,586	12,763	11,522	366	678	614	11	2	34
TEncSbac::codeLastSignificantXY	35,219	13,961	7,787	674	1,071	33	16	18	1
std::istream::sentry::sentry	34,157	14,143	5,742	8	1,532	252	4	3	0
isLeftAvailable	33,931	12,152	9,978	629	1,306	356	3	25	0
__cxxabiv1::__vmi_class_type_info::__do_dyncast	33,919	14,877	7,142	179	198	291	6	1	0
