Traffic__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComPrediction::predIntraGetPredValDC	3772639	1059332	202002	76560	5144	57482	7	0	17	3696072	1054188	144503	2.76493338363 %	2.02934868669 %	4.96506080071 %	0.000476760602411 %	0.000185546510016 %	0.00134777941449 %
TEncSearch::estIntraPredChromaQT	3656659	1595740	1503997	175942	132284	59122	73	5	10	3480644	1463451	1444865	5.43704069448 %	4.81155065321 %	6.17491096825 %	0.00130246954145 %	0.00199635787751 %	0.000483912022213 %
TEncSbac::codePartSize	3650136	1845942	892308	275158	187220	8185	24	7	2	3374954	1658715	884121	7.36591370653 %	7.53829446355 %	7.13612708847 %	0.000516562399329 %	0.000657509747582 %	0.000328677074774 %
TComDataCU::setMergeFlagSubParts	3537052	1560014	876537	168336	96770	10	22	1	0	3368694	1463243	876527	4.43812553328 %	4.7592175631 %	3.97200797357 %	0.000385027260767 %	0.000621986897563 %	4.10416198963e-05 %
TComDataCU::getQtRootCbf	3439063	2231255	184361	66895	66057	0	2	15	0	3372166	2165183	184361	2.2708674549 %	1.94515192074 %	2.73458198654 %	0.000290366047396 %	5.81553754613e-05 %	0.000620959622721 %
TComDataCU::getMvField	3381980	1989400	596820	44113	311178	3142	1	77	0	3337866	1678145	593678	6.0057136155 %	1.30435425402 %	12.1536450882 %	0.00130692671157 %	2.95684776374e-05 %	0.00297731824825 %
TComYuv::copyToPartYuv	3365236	759892	1085560	32114	5933	1148	4	0	0	3333118	753959	1084412	0.752203931611 %	0.95428671273 %	0.383700036631 %	7.67652947173e-05 %	0.00011886239182 %	0.0 %
TComDataCU::setMergeIndexSubParts	3283130	1486479	829564	197929	56560	0	24	1	0	3085177	1429918	829564	4.54511764505 %	6.02866776521 %	2.44209628232 %	0.0004464945091 %	0.000731009737659 %	4.31770912716e-05 %
TEncCu::xCheckRDCostInter	3242800	1340000	1742000	266169	424624	28968	20	0	0	2976611	915376	1713032	11.3799803946 %	8.2079992599 %	14.7174561973 %	0.000316215532507 %	0.000616750955964 %	0.0 %
TComDataCU::setIntraDirSubParts	3158750	1642550	884450	172263	66703	24916	4	0	0	2986483	1575847	859534	4.64111155081 %	5.45351800554 %	3.62560348239 %	7.03513168887e-05 %	0.0001266323704 %	0.0 %
TComPatternParam::setPatternParamPel	3067280	1840368	1226912	45617	0	720	1	0	0	3021662	1840368	1226192	0.755343496518 %	1.48721342688 %	0.0234735661563 %	1.63010876086e-05 %	3.26021752171e-05 %	0.0 %
TEncEntropy::encodeTransformSubdivFlag	3037860	1772085	1012620	38968	1700	50520	2	0	1	2998890	1770385	962099	1.56611390341 %	1.28274509029 %	1.87524351772 %	5.15236841495e-05 %	6.58358186355e-05 %	3.59104465284e-05 %
TEncSbac::codeSkipFlag	2885920	1103440	1273200	93061	82756	45577	2	4	0	2792857	1020680	1227623	4.2069639111 %	3.22465626213 %	5.39976605628 %	0.000114012951871 %	6.93019903532e-05 %	0.000168304833715 %
TEncSearch::xAddSymbolBitsInter	2883559	1187096	1449086	233382	117479	663	9	0	0	2650168	1069617	1448423	6.36848721706 %	8.09353996225 %	4.48155703969 %	0.000163051128667 %	0.000312114300418 %	0.0 %
TComDataCU::setSkipFlagSubParts	2838648	1419324	827939	61187	9497	47838	4	0	2	2777457	1409827	780099	2.33039862475 %	2.15549796946 %	2.55132576828 %	0.000117972964922 %	0.000140912152546 %	8.89971489763e-05 %
TComPrediction::xDCPredFiltering	2829729	975754	315441	70998	0	0	11	0	0	2758720	975754	315441	1.72286603684 %	2.50900351235 %	0.0 %	0.000266930426283 %	0.000388729804161 %	0.0 %
TEncEntropy::encodePUWise	2800944	905227	1219698	136657	73401	0	5	3	0	2664282	831823	1219698	4.26438461924 %	4.87896223559 %	3.45428662188 %	0.000162407891887 %	0.00017851124478 %	0.000141181453463 %
TComDataCU::isDiffMER	2676249	1411944	173287	43495	41252	0	1	0	0	2632753	1370692	173287	1.98867529591 %	1.62522246622 %	2.60227058391 %	2.34660258877e-05 %	3.73657309167e-05 %	0.0 %
TEncSearch::xGetBlkBits	2518252	1216856	1031216	177517	109309	67970	11	6	1	2340724	1107541	963245	7.44380784856 %	7.04921509047 %	7.88582394158 %	0.000377649526134 %	0.000436810930757 %	0.000311377927397 %
TEncSbac::codeCrossComponentPrediction	2510565	1309860	545775	78690	220	162	5	0	0	2431870	1309640	545613	1.81100270258 %	3.13435421907 %	0.020585944973 %	0.000114516055151 %	0.000199158356784 %	0.0 %
TComLoopFilter::xSetEdgefilterMultiple	2449168	1213740	350936	80	1728	2383	32	0	47	2449056	1212012	348506	0.104413624446 %	0.00326641537044 %	0.262738100412 %	0.00196818810098 %	0.00130656614818 %	0.00300381676462 %
TEncSearch::xSetResidualQTData	2426382	914333	671186	65855	60064	20848	6	0	2	2360521	854269	650336	3.65829067068 %	2.7141233326 %	5.10318703213 %	0.000199406715171 %	0.000247281755305 %	0.000126141660869 %
TComDataCU::setCbfSubParts	2388440	1070680	700060	16532	61107	0	2	3	0	2371906	1009570	700060	1.86669006872 %	0.692167272362 %	3.45093011961 %	0.000120216004116 %	8.37366649361e-05 %	0.000169420694173 %
TEncSearch::xSetIntraResultChromaQT	2367778	1068320	777834	31064	19307	303	21	0	0	2336693	1049013	777531	1.2025348297 %	1.31194731939 %	1.06220824482 %	0.0004983469121 %	0.0008869074719 %	0.0 %
TEncSearch::xRestrictBipredMergeCand	2365116	446784	725920	71916	0	0	6	0	0	2293194	446784	725920	2.03277724701 %	3.04069652398 %	0.0 %	0.000169595965877 %	0.000253687345568 %	0.0 %
TEncCu::xCheckBestMode	2355150	1239177	529026	86718	141694	0	4	3	0	2268428	1097480	529026	5.5394723663 %	3.68205846761 %	8.0134464199 %	0.000169764752133 %	0.000169840562172 %	0.000169663777293 %
TComDataCU::isBipredRestriction	2314624	648368	881584	89856	0	0	2	0	0	2224766	648368	881584	2.33721481901 %	3.8820992092 %	0.0 %	5.2021341235e-05 %	8.64071227119e-05 %	0.0 %
TEncSampleAdaptiveOffset::deriveOffsets	2266033	625814	451788	140	10539	2859	70	4	0	2265823	615271	448929	0.404888691499 %	0.00617819775793 %	1.24331617796 %	0.00221316022831 %	0.00308909887897 %	0.000371194559773 %
TComTrQuant::setErrScaleCoeff	2261520	267840	253440	25	1435	61860	14	32	46743	2261481	266373	144837	2.27540606583 %	0.00110545120096 %	12.1422268263 %	1.68136409372 %	0.000619052672539 %	8.97310466544 %
TEncBinCABAC::encodeBin	2116068	780720	561636	25	3846	185	14	45	0	2116029	776829	561451	0.117278853027 %	0.00118143651338 %	0.300292917825 %	0.00170597937095 %	0.000661604447494 %	0.00335231488517 %
TEncBinCABACCounter::encodeBinEP	2048820	1024410	1024410	81200	0	0	10	0	0	1967610	1024410	1024410	1.98162844955 %	3.96325689909 %	0.0 %	0.000244042912506 %	0.000488085825011 %	0.0 %
TComDataCU::setPartSizeSubParts	2047992	1023996	597331	69338	3563	8153	4	0	1	1978650	1020433	589177	2.20896575087 %	3.38565775648 %	0.722617954305 %	0.000136265067169 %	0.000195313262942 %	6.16778725081e-05 %
TComPicYuv::extendPicBorder	2028300	578391	552243	135	8815	28573	30	791	2781	2028135	568785	520889	1.18783741604 %	0.00665582014495 %	3.30681723705 %	0.11402580744 %	0.00147907114332 %	0.315928938985 %
TComDataCU::getNumPartitions	2013990	947760	236940	59230	109208	251	2	1	0	1954758	838551	236689	5.27369016691 %	2.94092820719 %	9.23938549844 %	9.3788394624e-05 %	9.93053590137e-05 %	8.44095551616e-05 %
_int_malloc	1937777	333293	372886	842	3147	12843	240	30	10505	1936695	330116	349538	0.63662178947 %	0.0434518523029 %	2.26429842859 %	0.407533256983 %	0.0123853260721 %	1.49183139119 %
TComLoopFilter::xEdgeFilterChroma	1905837	779916	281279	150	8050	0	85	0	0	1905602	771866	281279	0.276370460447 %	0.00787055766049 %	0.758578772045 %	0.00286481574853 %	0.00445998267428 %	0.0 %
TComDataCU::getPartPosition	1859632	922816	408276	156466	45661	27154	13	1	3	1703153	877154	381119	7.18586126534 %	8.41381520645 %	5.47032060894 %	0.000532794437877 %	0.00069906304043 %	0.000300505149156 %
TComDataCU::setPredModeSubParts	1850328	925164	539679	51595	6137	0	3	0	0	1798730	919027	539679	1.74144863116 %	2.78842453878 %	0.418952747837 %	9.04930695883e-05 %	0.000162133416346 %	0.0 %
TComDataCU::setChromaQpAdjSubParts	1850328	925164	539679	47904	916	0	4	0	0	1802420	924248	539679	1.47262388577 %	2.58894639221 %	0.0625322986832 %	0.000120657426118 %	0.000216177888461 %	0.0 %
TEncEntropy::encodeSkipFlag	1822289	959013	428019	104486	100607	894	4	1	0	1717799	858405	427125	6.41839815961 %	5.7337776829 %	7.31785568033 %	0.000155796194896 %	0.000219504151098 %	7.20963899896e-05 %
TComDataCU::setCbfSubParts	1799875	935935	503965	61034	96	0	2	0	0	1738839	935839	503965	1.88685942697 %	3.39101326481 %	0.00666712966178 %	6.17326820535e-05 %	0.000111118827696 %	0.0 %
TEncEntropy::encodeMergeIndex	1791220	895610	569275	37319	1392	0	4	0	0	1753897	894218	569275	1.1888744374 %	2.08344033675 %	0.0950245241094 %	0.000122846161288 %	0.000223311486026 %	0.0 %
TComDataCU::setTransformSkipSubParts	1734026	777322	508249	30005	30897	295	2	0	0	1704019	746425	507954	2.02666117366 %	1.73036621135 %	2.42631484375 %	6.62340040741e-05 %	0.000115338524336 %	0.0 %
TComLoopFilter::xDeblockCU	1707152	483276	283818	85	4623	9	48	28	0	1707019	478625	283809	0.190643937587 %	0.00497905283185 %	0.603837339361 %	0.00307164283584 %	0.00281170042269 %	0.00365013935711 %
TEncEntropy::encodePartSize	1681614	885060	531036	162283	24108	2463	5	1	1	1519326	860951	528572	6.09656810999 %	9.65043107396 %	1.87635584028 %	0.000225973380336 %	0.000297333395179 %	0.00014123336271 %
TComYuv::copyToPicYuv	1665600	478860	603780	23400	21023	1735	6	1	0	1642194	457836	602045	1.67954763776 %	1.40489913545 %	2.10208379517 %	0.000254708467965 %	0.00036023054755 %	9.23668070642e-05 %
TComLoopFilter::xGetBoundaryStrengthSingle	1655991	690374	360201	85	17547	0	26	277	0	1655880	672550	360201	0.651452800338 %	0.00513287813762 %	1.67022820836 %	0.0111949976465 %	0.0015700568421 %	0.0263665135759 %
TComDataCU::deriveLeftBottomIdxGeneral	1636044	910352	226820	135036	75583	0	5	4	0	1501003	834765	226820	7.59475641277 %	8.25381224466 %	6.64657589177 %	0.00032453296101 %	0.000305615252402 %	0.000351749779277 %
TEncCu::xCheckDQP	1619037	925164	385485	130077	52319	42762	6	0	0	1488954	872845	342723	7.68539700159 %	8.03422034209 %	7.25449758097 %	0.000204800104858 %	0.000370590665933 %	0.0 %
TComDataCU::deriveLeftRightTopIdxGeneral	1591340	865120	226820	134808	110223	0	5	5	0	1456527	754892	226820	9.13177156316 %	8.47135118831 %	10.094235947 %	0.000372678214722 %	0.000314200610806 %	0.00045790061725 %
TEncSearch::xSetIntraResultQT	1560446	708379	501083	107878	31996	33543	13	0	0	1452555	676383	467540	6.26074945449 %	6.91327992125 %	5.41885565648 %	0.000469329667267 %	0.000833095153565 %	0.0 %
TComDataCU::isSkipped	1467820	1467820	0	48741	238716	0	2	157	0	1419077	1228947	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncEntropy::encodeCoeff	1436891	616895	556395	79764	7616	0	10	0	0	1357117	609279	556395	3.34766056454 %	5.55115175751 %	0.649114882084 %	0.000383115193927 %	0.000695947013378 %	0.0 %
_int_free	1322020	376950	250040	673	9059	682	132	5404	406	1321215	362487	248952	0.534322553502 %	0.050906945432 %	1.55361329527 %	0.304872730258 %	0.00998472035219 %	0.92664954784 %
TComOutputBitstream::write	1292215	328373	251260	43	22	786	16	3	57	1292156	328348	250417	0.0454630931571 %	0.00332761962986 %	0.139398550462 %	0.00406015873084 %	0.00123818404832 %	0.0103513775096 %
TEncSearch::xSetIntraResultChromaQT	1283757	504138	512085	43025	15863	95	7	0	0	1240725	488275	511990	2.56450056087 %	3.35149097532 %	1.57032462363 %	0.000304350472613 %	0.000545274534043 %	0.0 %
TComTrQuant::xsetFlatScalingList	1248480	10080	493200	10	380	61770	5	95	46764	1248465	9605	384666	3.54843129196 %	0.000800973984365 %	12.3489906215 %	2.67525231767 %	0.000400486992182 %	9.31072166587 %
TEncSbac::codeIntraDirChroma	1132414	523247	409494	54464	23309	36740	20	2	0	1077930	499936	372754	5.5450075176 %	4.80954845136 %	6.43790720039 %	0.00106529534103 %	0.00176613853237 %	0.000214421795547 %
TComCUMvField::copyTo	1121480	571320	380880	23400	12458	8759	6	1	1	1098074	558861	372120	2.15158558698 %	2.08652851589 %	2.22820835959 %	0.000385787585356 %	0.000535007311767 %	0.000210039907582 %
TComDataCU::setCUTransquantBypassSubParts	1100040	550020	320845	20333	0	0	1	0	0	1079706	550020	320845	1.03165804542 %	1.84838733137 %	0.0 %	5.07381126944e-05 %	9.09057852442e-05 %	0.0 %
TComCUMvField::compress	1095920	544880	383040	20	3583	9544	12	23	81	1095888	541274	373415	0.649606688276 %	0.00182495072633 %	1.41466936805 %	0.00573167839355 %	0.0010949704358 %	0.0112078627468 %
TEncSbac::codeMvd	1044856	408837	276906	76765	26310	0	12	7	0	968079	382520	276906	5.95603025311 %	7.3469454164 %	3.83671433759 %	0.00109788576094 %	0.0011484836188 %	0.00102079058773 %
TComDataCU::setQPSubParts	1040616	520308	303513	81690	62364	4414	2	0	1	958924	457944	299098	7.96315456087 %	7.85015798335 %	8.10588707984 %	0.000160906482761 %	0.000192193854409 %	0.000121385592259 %
TEncCu::xCheckRDCostIntra	1008412	437276	522054	88674	76563	19435	49	0	6	919689	360713	502613	9.3849701841 %	8.79342966962 %	10.0067755621 %	0.00279508187557 %	0.00485912504016 %	0.000625436502559 %
TEncEntropy::encodePredInfo	970563	421442	376805	76345	4	446	6	0	0	894212	421438	376359	4.3416195069 %	7.86605300223 %	0.0563735284943 %	0.000339211108033 %	0.000618197891327 %	0.0 %
TComCUMvField::copyFrom	939600	438480	375840	7800	13793	1789	2	0	0	931798	424687	374051	1.33312807882 %	0.830140485313 %	1.91349837902 %	0.000114030286444 %	0.000212856534696 %	0.0 %
TComTURecurse::TComTURecurse	928926	361249	412856	73012	4614	8924	4	0	4	855910	356635	403928	5.08211535785 %	7.85982952356 %	1.74885835901 %	0.000469750697433 %	0.00043060480598 %	0.000516725767176 %
TEncEntropy::encodePredMode	917239	503683	217333	85465	46	0	6	0	0	831768	503637	217333	5.21963918926 %	9.31763695177 %	0.00637988616064 %	0.000366243350394 %	0.000654137035167 %	0.0 %
TEncSbac::codeMergeFlag	868887	562221	255555	62941	1225	0	2	10	0	805944	560986	255555	3.80431657065 %	7.24386485239 %	0.149796521297 %	0.000711463997254 %	0.000230179528523 %	0.00122282874528 %
TEncEntropy::encodeCrossComponentPrediction	866100	505225	288700	55485	0	6	4	0	0	810611	505225	288694	3.34278098221 %	6.40630412193 %	0.000755738892213 %	0.000240960226503 %	0.00046184043413 %	0.0 %
_dl_lookup_symbol_x	830902	147970	54973	86	3578	92	15	3067	18	830801	141325	54863	0.363303976902 %	0.0103501977369 %	1.8083895478 %	0.299851525132 %	0.00180526704714 %	1.52013126839 %
TEncSbac::codePredMode	805638	466422	212010	77052	56700	0	2	4	0	728584	409718	212010	9.01251288686 %	9.56409702621 %	8.35750672138 %	0.000404293598011 %	0.000248250454919 %	0.000589594830433 %
TEncCu::xCopyYuv2Pic	801570	322710	239430	39000	44624	0	20	0	0	762550	278086	239430	6.13209553351 %	4.86545155133 %	7.93823602661 %	0.00146658747094 %	0.00249510335966 %	0.0 %
TEncCu::xEncodeCU	762484	350860	250272	711	4697	246	19	60	0	761754	346103	250026	0.414632858517 %	0.0932478583157 %	0.822281961366 %	0.0057934198484 %	0.00249185556681 %	0.00998116886141 %
TComYuv::copyFromPicYuv	707880	176970	239430	12870	9695	14284	4	7	4	695006	167268	225142	3.27756430782 %	1.81810476352 %	5.75864553314 %	0.00133418721315 %	0.000565067525569 %	0.00264169068204 %
TEncSearch::xTZ2PointSearch	683414	274769	240906	68460	9877	0	42	2	0	614912	264890	240906	6.53304300181 %	10.0173540489 %	1.91535366268 %	0.00366945239261 %	0.00614561598094 %	0.000387841179037 %
TComDataCU::setDepthSubParts	670000	321600	214400	53600	2088	1856	2	0	0	616398	319512	212544	4.77147595357 %	8.0 %	0.735820895522 %	0.00016583747927 %	0.000298507462687 %	0.0 %
TEncEntropy::encodeRefFrmIdxPU	646712	385280	167660	19288	318	8032	2	0	0	627422	384962	159628	2.30383477875 %	2.98247133191 %	1.51010959598 %	0.000166715014021 %	0.000309256670666 %	0.0 %
TEncSbac::codeQtRootCbf	629280	273600	273600	26959	5339	8	1	0	0	602320	268261	273592	2.7459880321 %	4.28410246631 %	0.977156432749 %	8.49993200054e-05 %	0.000158911772184 %	0.0 %
TEncEntropy::encodeMvdPU	620928	371784	188790	21939	0	2609	2	0	0	598987	371784	186181	2.07769432468 %	3.53325989487 %	0.465415805942 %	0.000169276057087 %	0.000322098536384 %	0.0 %
TEncEntropy::encodeMergeFlag	613332	357777	204444	0	0	0	0	0	0	613332	357777	204444	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncSearch::xSetIntraResultQT	604262	267699	201835	3850	9460	3492	15	0	0	600397	258239	198343	1.56472924094 %	0.637140842879 %	2.75847968411 %	0.0013969133802 %	0.00248236692031 %	0.0 %
TComCUMvField::create	602768	3848	150552	16	143	17846	12	0	17810	602740	3705	114896	2.37793990237 %	0.00265442093807 %	11.6509067358 %	2.35377089365 %	0.00199081570355 %	11.5349740933 %
TEncSbac::codeInterDir	587041	266823	197819	32901	24465	0	3	14	0	554137	242344	197819	5.45468548983 %	5.60454891566 %	5.26534407135 %	0.00161645666993 %	0.000511037559557 %	0.00301307242996 %
do_lookup_x	560182	203023	95625	174	6408	114	44	1470	32	559964	195145	95479	0.779665358686 %	0.031061333638 %	2.18384184726 %	0.180012342373 %	0.00785459011536 %	0.50293321904 %
TEncSampleAdaptiveOffset::getDistortion	554136	173450	81478	118	605	0	59	0	0	553959	172845	81478	0.0893625226187 %	0.0212944114802 %	0.2373219105 %	0.00729237736446 %	0.0106472057401 %	0.0 %
TEncSbac::codeSplitFlag	552464	236152	148012	30898	18725	90	6	1	0	521560	217426	147922	5.30765682854 %	5.59276260535 %	4.89764787955 %	0.000747361812801 %	0.00108604361551 %	0.000260305494528 %
TEncEntropy::encodeIPCMInfo	541632	304668	135408	32624	6596	0	2	0	0	509006	298072	135408	3.99507796616 %	6.02327779747 %	1.49883201992 %	0.000203726566352 %	0.000369254401512 %	0.0 %
TComDataCU::getAllowedChromaDir	470634	214410	128613	46373	12254	4462	3	0	2	424258	202156	124149	7.75375864769 %	9.85330426616 %	4.87314261726 %	0.00061450955378 %	0.000637438009154 %	0.000583051282276 %
TEncEntropy::encodeMVPIdxPU	449232	298200	139734	10967	11025	0	1	2	0	438264	287173	139734	2.47890473711 %	2.44127755814 %	2.51750263738 %	0.000338155429762 %	0.000222602129857 %	0.000456689820841 %
TEncSbac::codeQtRootCbfZero	427867	233382	155588	69386	320	29202	2	0	0	358479	233062	126386	12.1086581533 %	16.2167215513 %	7.58978841556 %	0.000244846891118 %	0.000467434973952 %	0.0 %
TEncEntropy::encodeQtRootCbfZero	388970	233382	116691	0	191	0	0	0	0	388970	233191	116691	0.0258442336914 %	0.0 %	0.0545600489041 %	0.0 %	0.0 %	0.0 %
malloc	387323	112479	62590	21	1180	216	15	0	8	387287	111299	62366	0.251959487333 %	0.00542183139137 %	0.797399882332 %	0.00408967410632 %	0.00387273670812 %	0.00456962683285 %
TComDataCU::getCtxSplitFlag	384028	130600	142196	13611	15757	4323	11	29	2	370406	114814	137871	5.12938016881 %	3.54427281344 %	7.36081174211 %	0.00639440702532 %	0.00286437447269 %	0.0113638029883 %
TComLoopFilter::xDeblockCU	375744	82149	21340	20	1962	0	12	15	0	375712	80172	21340	0.413577529093 %	0.0053227729518 %	1.89585366561 %	0.00563400266676 %	0.00319366377108 %	0.0144942940796 %
TEncBinCABAC::testAndWriteOut	371096	143384	84328	0	0	166	0	0	2	371096	143384	84160	0.0277217405245 %	0.0 %	0.0728991006183 %	0.000333996873789 %	0.0 %	0.000878302417088 %
free	362510	112484	75011	164	1360	11	13	320	2	362333	110804	74998	0.279088371924 %	0.0452401313067 %	0.731219499187 %	0.0609085371951 %	0.00358610796944 %	0.171737913011 %
TComCUMvField::copyTo	359720	126960	169280	12613	16134	3249	4	0	0	347103	110826	166031	4.87773644734 %	3.50633826309 %	6.54300567108 %	0.000609793280078 %	0.00111197598132 %	0.0 %
TEncCu::xCopyYuv2Tmp	349180	164320	133510	7800	24993	0	4	0	0	341376	139327	133510	5.06839152409 %	2.23380491437 %	8.39169996307 %	0.00061822846633 %	0.00114554098173 %	0.0 %
TEncSbac::codeRefFrmIdx	343081	160767	83790	16432	14289	0	4	0	0	326645	146478	83790	5.22787838771 %	4.7895394965 %	5.84280965174 %	0.000680691173818 %	0.00116590542758 %	0.0 %
TEncEntropy::encodeIntraDirModeChroma	342504	199794	114168	11545	6909	0	2	0	0	330957	192885	114168	2.81111283753 %	3.37076355313 %	2.20058478415 %	0.000304661627563 %	0.000583934786163 %	0.0 %
TEncSbac::xWriteUnaryMaxSymbol	342468	158004	92610	22610	0	0	4	0	0	319854	158004	92610	3.8122890258 %	6.60207669038 %	0.0 %	0.000674442994392 %	0.00116799233797 %	0.0 %
TEncEntropy::encodeSplitFlag	334932	176280	105768	10	12739	90	7	1	0	334915	163540	105678	2.08094265616 %	0.00298568067548 %	4.54851656456 %	0.00129663846478 %	0.00208997647284 %	0.000354549580213 %
initROM	329111	79859	35725	19	2	2735	19	0	49	329073	79857	32941	0.61975061559 %	0.0057731282151 %	2.3679748062 %	0.0152913794848 %	0.0057731282151 %	0.0423934108527 %
std::basic_streambuf<char,	325109	222222	207134	14	23277	153	14	260	60	325081	198685	206921	3.10736747231 %	0.00430624805834 %	5.45701003363 %	0.044269780573 %	0.00430624805834 %	0.0745302266651 %
TEncCu::xComputeQP	322710	135330	52050	40910	30444	0	8	0	0	281792	104886	52050	13.9885118312 %	12.6770165164 %	16.2471982069 %	0.00156835068321 %	0.00247900591863 %	0.0 %
std::basic_streambuf<char,	312206	214552	199349	170	98	22362	25	2	646	312011	214452	176341	3.11662055317 %	0.054451227715 %	5.42641839474 %	0.0926860641751 %	0.00800753348751 %	0.156559177195 %
TEncSbac::codeSAOOffsetParam	304995	77373	68479	56	306	0	33	0	0	304906	77067	68479	0.0802933145834 %	0.018360956737 %	0.209801716809 %	0.00731955630181 %	0.0108198495057 %	0.0 %
TComLoopFilter::xSetEdgefilterPU	304666	95118	144322	48	64	0	21	2	0	304597	95052	144322	0.0205842243975 %	0.0157549578883 %	0.0267290344136 %	0.00422711751019 %	0.00689279407614 %	0.000835282325426 %
TComLoopFilter::xSetEdgefilterTU	292630	112010	135742	35	1489	123	14	15	0	292581	110506	135619	0.304784393263 %	0.0119604961897 %	0.650650650651 %	0.00536657401616 %	0.00478419847589 %	0.00605444153831 %
_dl_relocate_object	290000	102611	40802	52	5692	1836	52	3933	1063	289896	92986	37903	1.74890923899 %	0.0179310344828 %	5.24917545829 %	1.16470894966 %	0.0179310344828 %	3.48364513677 %
TComLoopFilter::xSetLoopfilterParam	289456	96998	88736	30	68	82	12	0	0	289414	96930	88654	0.0378795850081 %	0.0103642695263 %	0.0807606577148 %	0.00252530566721 %	0.00414570781051 %	0.0 %
TComLoopFilter::xSetEdgefilterTU	281200	116400	125216	0	124	180	0	2	0	281200	116274	125036	0.058146651977 %	0.0 %	0.125819482153 %	0.000382543763006 %	0.0 %	0.00082775975101 %
TEncSbac::codeMVPIdx	264600	119070	105840	21417	18457	0	2	12	0	243181	100601	105840	8.14569671713 %	8.09410430839 %	8.20639366858 %	0.00286000286 %	0.000755857898715 %	0.00533546752034 %
TEncBinCABAC::writeOut	258828	75751	56867	20	8	80	8	0	0	258800	75743	56787	0.0275900124155 %	0.0077271392585 %	0.0663559999397 %	0.00204370462337 %	0.0030908557034 %	0.0 %
strcmp	227884	72350	2	18	754	0	5	225	0	227861	71371	2	0.257131056902 %	0.00789875550719 %	1.04212737727 %	0.076606402963 %	0.002194098752 %	0.31097965502 %
TComSampleAdaptiveOffset::invertQuantOffsets	224032	91929	127075	28	2	726	14	0	0	223990	91927	126349	0.17064076057 %	0.0124982145408 %	0.332414019835 %	0.00316001408463 %	0.00624910727039 %	0.0 %
TEncEntropy::encodeInterDirPU	220752	122640	61320	21262	9737	0	1	0	0	199489	112903	61320	7.65952084445 %	9.63162281655 %	5.29299847793 %	0.000247089288185 %	0.000452997028339 %	0.0 %
TEncSampleAdaptiveOffset::deriveModeNewRDO	201130	86855	86320	146	1398	753	76	2	0	200908	85455	85567	0.613670669641 %	0.07258986725 %	1.24209614552 %	0.0208386209108 %	0.0377865062397 %	0.00115490111159 %
TComDataCU::initCtu	196275	74238	79527	2769	12299	2233	45	778	511	193461	61161	76783	4.94257799109 %	1.41077569736 %	9.45078528924 %	0.381099302937 %	0.0229270156668 %	0.838292199135 %
malloc_consolidate	195046	68149	44734	251	8581	96	40	9	35	194755	59559	44603	2.89936965989 %	0.128687591645 %	7.6867198781 %	0.0272790156172 %	0.0205079827323 %	0.0389784112754 %
__memcmp_ssse3	195034	42679	4963	472	226	0	31	0	0	194531	42453	4963	0.287626300087 %	0.242009085595 %	0.474371353008 %	0.012774233958 %	0.01589466452 %	0.0 %
TComDataCU::isLastSubCUOfCtu	190588	98124	30288	435	1500	0	6	5	0	190147	96619	30288	0.6065830721 %	0.22824102252 %	1.16811512943 %	0.00344827586207 %	0.00314815203476 %	0.00389371709809 %
TComDataCU::getIntraSizeIdx	187270	31234	0	8924	233	0	3	0	0	178343	31001	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncBinCABAC::encodeBinsEP	179612	69587	50050	19	0	0	12	0	0	179581	69587	50050	0.00634922756634 %	0.0105783577935 %	0.0 %	0.00401003846295 %	0.00668106808008 %	0.0 %
ContextModel::init	172498	28280	11312	27	0	1015	4	0	132	172467	28280	10165	0.491300862841 %	0.0156523553896 %	2.56364922207 %	0.0641237210618 %	0.00231886746513 %	0.333400687007 %
TEncSbac::codeSaoMaxUvlc	172353	80511	48636	18	0	0	10	0	0	172325	80511	48636	0.00597014925373 %	0.0104436824424 %	0.0 %	0.00331674958541 %	0.00580204580135 %	0.0 %
__memchr_sse2_bsf	151819	34041	333	32	370	0	19	255	0	151768	33416	333	0.215905001799 %	0.0210777307188 %	1.07639494967 %	0.14715913058 %	0.0125149026143 %	0.741839762611 %
SAOOffset::reset	148506	8406	100872	15	0	4320	5	0	3140	148486	8406	93412	1.68164044316 %	0.0101006019959 %	3.95322022731 %	1.22001365484 %	0.00336686733196 %	2.873405443 %
df::program_options_lite::Options::addOption	146684	45001	44151	168	640	0	30	0	0	146486	44361	44151	0.342610966943 %	0.114531918955 %	0.717875089734 %	0.0127207042182 %	0.0204521283848 %	0.0 %
TEncSbac::xWriteEpExGolomb	142341	39215	32085	7408	0	0	5	0	0	134928	39215	32085	3.46749921597 %	5.20440350988 %	0.0 %	0.0023403747408 %	0.00351269135386 %	0.0 %
