Traffic__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TEncSearch::xEncodeResidualQT	26662529	12106053	8953582	552145	261919	196186	14	0	3	26110370	11844134	8757393	2.11694088307 %	2.0708650706 %	2.17527511754 %	3.56228606901e-05 %	5.25081472954e-05 %	1.42452611358e-05 %
TEncSearch::xLoadIntraResultQT	26272645	9689240	5185960	615493	15654	5137	66	0	0	25657086	9673586	5180823	1.5463361447 %	2.3427142566 %	0.139769549317 %	0.000160397221288 %	0.000251211859331 %	0.0 %
TComTrQuant::getSigCoeffGroupCtxInc	25455722	8528714	1911423	54086	2080	0	9	0	0	25401627	8526634	1911423	0.156469301933 %	0.212470893577 %	0.0199231102044 %	2.50725299539e-05 %	3.5355508675e-05 %	0.0 %
TComDataCU::getPUAboveRightAdi	25440453	12610554	5356998	361749	374284	457	20	0	3	25078684	12236270	5356538	1.69666862138 %	1.42194401963 %	2.08565418372 %	5.29856186664e-05 %	7.8614952336e-05 %	1.6696765369e-05 %
TComDataCU::getCtxQtCbf	24817302	12922304	0	363975	37553	0	2	0	0	24453325	12884751	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSearch::xGetInterPredictionError	24687040	7714700	11021000	259251	138588	46754	16	0	0	24427773	7576112	10974246	1.02387136325 %	1.05015020027 %	0.989245130953 %	3.68470529497e-05 %	6.48113342061e-05 %	0.0 %
TEncSearch::xExtDIFUpSamplingH	24384876	7821564	13956124	931984	747132	11768	12	16	0	23452880	7074416	13944356	3.66289012889 %	3.82197555567 %	3.4847592637 %	6.06552097063e-05 %	4.92108305164e-05 %	7.34696906302e-05 %
TComPrediction::xPredInterBi	24234010	9279263	7493979	312055	81036	31211	9	1	0	23921946	9198226	7462768	1.03469991113 %	1.28767381048 %	0.669202769506 %	2.43859305666e-05 %	3.71378900974e-05 %	5.96187666046e-06 %
TComYuv::copyPartToPartYuv	24191520	5291895	6803865	146400	33140	0	3	0	0	24045117	5258755	6803865	0.49477392629 %	0.605170737515 %	0.273980303842 %	8.26735980211e-06 %	1.24010397032e-05 %	0.0 %
TComPrediction::filteringIntraReferenceSamples	24050046	5948852	1593120	491619	146491	16975	8	2	5	23558419	5802359	1576140	2.07357757266 %	2.04414993635 %	2.16741722191 %	4.74803477258e-05 %	3.32639696406e-05 %	9.28139218761e-05 %
TComCUMvField::setAllMvField	23233558	9419010	11930746	204876	13451	208	3	0	0	23028679	9405559	11930538	0.490172175177 %	0.881810698129 %	0.0639773119655 %	6.7289748806e-06 %	1.29123572033e-05 %	0.0 %
TEncSearch::xUpdateCandList	22937726	5995327	3101923	33576	25401	475	6	1	0	22904144	5969925	3101448	0.185584655971 %	0.14637893922 %	0.284437604771 %	2.18511167294e-05 %	2.61577804182e-05 %	1.09923328478e-05 %
TComDataCU::getPUBelowLeftAdi	22888221	11735347	5170136	342612	380741	161	16	0	0	22545593	11354606	5169975	1.81816198864 %	1.49689222242 %	2.25312698845 %	4.02073654667e-05 %	6.99049524207e-05 %	0.0 %
TComRdCost::xGetSAD	22875392	6331840	159168	4829	78569	2044	6	0	0	22870557	6253271	157124	0.290951563692 %	0.0211100207594 %	1.24191805032 %	2.04315135665e-05 %	2.62290587195e-05 %	0.0 %
TEncEntropy::encodeQtCbf	21547526	12312872	7695545	191936	966	40712	2	0	2	21355588	12311906	7654831	0.562167485888 %	0.890756553676 %	0.208302335962 %	9.62557870483e-06 %	9.2818080368e-06 %	9.9957932704e-06 %
TEncBinCABACCounter::encodeBinsEP	21139415	7687060	5765295	178459	0	0	1	0	0	20960955	7687060	5765295	0.515900169318 %	0.844200277065 %	0.0 %	2.89086103429e-06 %	4.73049987429e-06 %	0.0 %
TEncSbac::getNumberOfWrittenBits	20158384	12598990	5039596	0	0	104	0	0	0	20158384	12598990	5039492	0.000275154331154 %	0.0 %	0.000589616423902 %	0.0 %	0.0 %	0.0 %
TComDataCU::setMVPIdxSubParts	19251688	8846715	5085692	196965	998711	22758	21	1	0	19054702	7848003	5062934	3.67174093493 %	1.02310509084 %	7.33160465381 %	6.62968208113e-05 %	0.000109081343932 %	7.17751067709e-06 %
TEncSearch::xModeBitsIntra	18848970	10122595	7330155	38989	113286	0	9	1	0	18809972	10009308	7330155	0.41947048239 %	0.206849498938 %	0.649101144519 %	2.75469041136e-05 %	4.77479671303e-05 %	5.72975605564e-06 %
TComDataCU::xAddMVPCandOrder	18752992	5964944	4385326	363454	499121	469	13	1	0	18389525	5465822	4384857	2.96545452534 %	1.93811206233 %	4.82683060442 %	4.81045732949e-05 %	6.93222713474e-05 %	9.66158370748e-06 %
TComDataCU::setMVPNumSubParts	18452534	8480696	4881753	103577	189402	0	21	1	0	18348936	8291293	4881753	0.920883723244 %	0.561315860467 %	1.41741981578 %	6.91498090695e-05 %	0.000113805507688 %	7.48365812285e-06 %
TEncEntropy::estimateBit	18262176	8370164	6087392	80057	262420	121	4	1	0	18182115	8107743	6087271	1.04706847843 %	0.43837601828 %	1.81594316494 %	1.52812987588e-05 %	2.19031948876e-05 %	6.91679838556e-06 %
TComTU::useDST	18184500	11030528	2184944	84740	480	0	2	0	0	18099758	11030048	2184944	0.271401515899 %	0.466001264813 %	0.00363210636745 %	6.36943243134e-06 %	1.09983777393e-05 %	0.0 %
TComDataCU::getPUAboveRight	18024764	8892096	3286888	342036	434828	3660	10	14	0	17682718	8457254	3283228	2.58419584218 %	1.89758933876 %	3.60036600754 %	7.9460337174e-05 %	5.54792284659e-05 %	0.000114952117517 %
TComDataCU::getPUAboveLeft	17740727	7997330	3934738	778497	203602	153773	22	1	15	16962208	7793727	3780950	3.8279912627 %	4.38819108146 %	2.99508014872 %	0.000128063433189 %	0.000124008446779 %	0.000134092430583 %
TComPrediction::motionCompensation	17455997	5063184	7694523	406147	44087	2831	22	0	0	17049828	5019097	7691692	1.49953478064 %	2.3266903632 %	0.367762012406 %	7.28146406677e-05 %	0.000126031185729 %	0.0 %
TEncSearch::xPatternSearchFracDIF	17023404	5981196	7514836	377791	189532	116956	7	0	0	16645606	5791664	7397880	2.24210893019 %	2.21924475269 %	2.27094897226 %	2.29362036703e-05 %	4.11198606342e-05 %	0.0 %
TComDataCU::setTrIdxSubParts	16329816	8164908	4762863	830550	341962	0	4	0	0	15499262	7822946	4762863	4.00754853775 %	5.08609527505 %	2.64517371169 %	1.3671667455e-05 %	2.44950708569e-05 %	0.0 %
TEncSearch::xRecurIntraChromaCodingQT	16272583	5832860	5832521	609607	150410	35726	136	0	15	15662840	5682450	5796780	2.84824978656 %	3.74622148186 %	1.5956272667 %	0.000540483193407 %	0.000835761599741 %	0.000128585598704 %
TEncEntropy::encodeQtCbfZero	15940284	9298499	5313428	82353	236684	0	2	1	0	15857929	9061814	5313428	1.04423539102 %	0.516634458959 %	1.61980004417 %	9.81925661616e-06 %	1.25468278984e-05 %	6.84372430823e-06 %
TEncSearch::xMergeEstimation	15324548	6467896	6220564	379624	151668	4752	25	1	0	14944899	6316227	6215812	1.91355387469 %	2.47722803961 %	1.23277371722 %	9.28140241134e-05 %	0.00016313694864 %	7.88117706956e-06 %
isLeftAvailable	15086654	5621282	4461141	467262	58490	0	6	12	0	14619386	5562780	4461141	2.0888807325 %	3.09718775283 %	0.580118489375 %	7.15163293433e-05 %	3.97702499176e-05 %	0.000119019009617 %
TComTrQuant::invTransformNxN	14937425	7308119	5521003	822316	88032	147090	20	0	0	14115089	7220087	5373913	3.80831653284 %	5.50507199199 %	1.83272089859 %	7.20291219502e-05 %	0.00013389188565 %	0.0 %
TEncSearch::xSetSearchRange	14097564	4699188	6004518	147551	8576	0	4	0	0	13950009	4690612	6004518	0.629512117726 %	1.04664181698 %	0.0801217821192 %	1.61282063378e-05 %	2.83736963351e-05 %	0.0 %
TEncSbac::codeTransformSkipFlags	13607028	7678380	2226114	385317	184873	105869	8	2	5	13221703	7493505	2120240	2.87543698787 %	2.8317498869 %	2.93545535996 %	6.37985069618e-05 %	5.87931471884e-05 %	7.06749885456e-05 %
TComCUMvField::setAllMvd	13354194	4163452	2508679	130881	47545	133603	21	1	0	13223292	4115906	2375076	1.55809415856 %	0.980074125028 %	2.71499465463 %	0.000109855402826 %	0.000157253968304 %	1.49877153191e-05 %
TComDataCU::xGetDistScaleFactor	13251324	2740416	782976	96200	0	0	4	0	0	13155120	2740416	782976	0.573482138237 %	0.725965194119 %	0.0 %	2.38454111533e-05 %	3.01856629572e-05 %	0.0 %
isAboveAvailable	13095495	4359930	4608770	596605	3522	50155	8	1	4	12498882	4356407	4558611	2.94722739715 %	4.55580335069 %	0.59849253515 %	5.89189861674e-05 %	6.10897106219e-05 %	5.57494397181e-05 %
TComDataCU::deriveRightBottomIdx	13044390	6429368	1827896	205393	255008	0	8	2	0	12838989	6174358	1827896	2.16133920868 %	1.57456960425 %	3.08828687081 %	4.69447114295e-05 %	6.1329046433e-05 %	2.42210979327e-05 %
isBelowLeftAvailable	12950551	4935804	4038733	464747	0	0	6	0	0	12485798	4935804	4038733	2.11970414896 %	3.58862723293 %	0.0 %	2.73659106864e-05 %	4.63300750678e-05 %	0.0 %
TEncSearch::xEncSubdivCbfQT	12849387	5274288	3829443	785258	86520	7092	44	0	0	12064085	5187768	3822351	4.00339487083 %	6.11124873117 %	1.02828170121 %	0.000200427110172 %	0.000342428786681 %	0.0 %
TComPrediction::xCheckIdenticalMotion	12363854	7321593	934857	192693	389064	0	4	2	0	12171157	6932527	934857	2.82128236325 %	1.55851888901 %	4.71224315535 %	2.90975341586e-05 %	3.23523716796e-05 %	2.42234858807e-05 %
isAboveRightAvailable	12299318	4359930	4155332	679852	0	0	10	0	0	11619456	4359930	4155332	3.26622972935 %	5.52755851991 %	0.0 %	4.80432466089e-05 %	8.13053211568e-05 %	0.0 %
TComDataCU::initSubCU	12273120	4679040	5209200	163685	113527	100477	32	78	153	12109403	4565435	5108570	1.70426814961 %	1.33368695165 %	2.16422740548 %	0.00118675027164 %	0.000260732397304 %	0.00233610834688 %
