BasketballPass__QP_32_nF_16_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TEncSbac::estSignificantCoeffGroupMapBit	150,428,624	75,214,312	39,586,480	1,122,107	4,809,528	3,958,648	1,991	63	113
TComTU::getGolombRiceStatisticsIndex	147,337,005	79,787,825	12,275,050	2,048,633	1,995,285	0	532	0	0
TComRdCost::setDistParam	145,490,386	77,024,322	51,349,548	1,101,267	12,143,829	122,692	1,257	577	0
TComCUMvField::setAllRefIdx	143,346,190	43,429,208	30,583,572	1,021,722	1,575,079	697,473	8,478	1,042	306
TEncSbac::codeLastSignificantXY	142,169,175	56,213,524	31,624,251	1,452,314	3,892,139	101,019	1,406	164	0
TEncSbac::codeQtCbfZero	140,281,149	62,884,653	58,047,372	470,637	7,734,761	146,883	1,306	0	0
TComDataCU::getCoefScanIdx	135,115,248	60,749,204	31,266,549	2,717,745	2,380,354	1,499,927	1,382	37	479
TEncSbac::resetBits	130,515,112	83,902,572	46,612,540	360,966	16,046,129	689,532	1,081	1,140	154
TEncSearch::xExtDIFUpSamplingH	130,034,652	41,709,228	74,422,348	4,749,294	8,981,475	1,352,857	12,892	217	13
TComDataCU::getPUAbove	128,571,860	61,670,963	28,935,245	3,552,118	2,919,139	324,663	7,003	2,752	244
TEncBinCABACCounter::getNumWrittenBits	126,987,664	71,430,561	31,746,916	314,248	9,444,289	570,350	379	0	0
TEncSearch::encodeResAndCalcRdInterCU	123,410,062	44,337,043	45,599,225	5,486,310	8,154,598	2,467,989	21,641	2,925	1,668
TComDataCU::xAddMVPCandOrder	120,441,412	38,258,928	28,108,688	2,076,809	4,916,716	318,227	8,680	5,995	0
TComRdCost::xGetSSE64	117,948,872	52,099,742	51,260,818	95,644	1,779,260	155,782	3,369	776	201
TComDataCU::getInterMergeCandidates	114,523,594	40,299,919	38,169,629	7,953,576	3,110,631	1,084,114	52,503	24,127	1,164
