--------------------------------------------------------------------------------
Profile data file '15_10/09/valgrind_BasketballPass__QP_32_nF_5_SR_4_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.txt' (creator: callgrind-3.10.1)
--------------------------------------------------------------------------------
I1 cache: 32768 B, 64 B, 8-way associative
D1 cache: 16384 B, 32 B, 4-way associative
LL cache: 8388608 B, 32 B, 2-way associative
Timerange: Basic block 0 - 5130534435
Trigger: Program termination
Profiled target:  ../../HM-16.2/bin/./TAppEncoderStatic -c ../../HM-16.2/cfg/encoder_lowdelay_main.cfg -c ../../HM-16.2/cfg/per-sequence/BasketballPass.cfg --QP=32 --SearchRange=4 --FramesToBeEncoded=5 (PID 1132, part 1)
Events recorded:  Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Events shown:     Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Event sort order: Ir Dr Dw I1mr D1mr D1mw ILmr DLmr DLmw
Thresholds:       100 0 0 0 0 0 0 0 0
Include dirs:     
User annotated:   
Auto-annotation:  on

--------------------------------------------------------------------------------
            Ir             Dr             Dw        I1mr        D1mr        D1mw   ILmr    DLmr      DLmw 
--------------------------------------------------------------------------------
66,926,216,540 27,298,595,102 10,990,414,376 170,499,884 255,253,523 424,824,077 17,747 288,470 1,078,894  PROGRAM TOTALS

--------------------------------------------------------------------------------
            Ir            Dr            Dw       I1mr       D1mr        D1mw  ILmr    DLmr    DLmw  file:function
--------------------------------------------------------------------------------
13,150,051,530 4,957,215,340 3,137,941,730    405,935 16,846,221   2,174,747    49       0      29  ???:TComRdCost::xCalcHADs8x8(short*, short*, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 9,190,954,049 5,392,752,586   362,868,874    440,195  4,113,094  23,636,130     9       0  11,117  ???:void TComInterpolationFilter::filter<8, true, false, true>(int, short const*, int, short*, int, int, int, short const*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 6,741,063,971 2,537,716,523 1,493,854,112 18,250,824 32,469,814  55,525,749   357     395   6,198  ???:TComTrQuant::xRateDistOptQuant(TComTU&, int*, int*, int*, int&, ComponentID, QpParam const&) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 4,959,141,299 2,690,522,664   256,491,771    714,732  7,573,624  17,698,199    36  18,136   2,493  ???:TComInterpolationFilter::filterHor(ComponentID, short*, int, short*, int, int, int, int, bool, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 2,134,332,640   559,526,181   450,615,303  4,030,918 52,645,069  43,496,921   437 155,219 533,019  ???:__memcpy_ssse3 [/usr/lib/libc-2.21.so]
 2,039,969,610   551,548,615    35,809,725     51,771  1,519,146      45,596    19     526       .  ???:TComRdCost::xGetSAD16(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 2,039,901,168   520,648,204   211,146,112    452,455  8,429,103  15,827,150    11  41,330   2,645  ???:TComInterpolationFilter::filterCopy(int, short const*, int, short*, int, int, int, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 1,945,096,398   560,923,019    69,419,597    176,169  2,074,845     150,195    13     143       .  ???:TComRdCost::xGetSAD8(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 1,512,286,000   561,137,700   326,335,400    502,153    294,055     314,151    57       .       .  ???:TComRdCost::xCalcHADs4x4(short*, short*, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 1,379,527,792   358,663,562    10,272,714     20,341  1,281,761      22,026    27   1,066       .  ???:TComRdCost::xGetSAD32(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
 1,233,568,819   194,634,289   546,429,839  1,190,592  3,364,276 123,552,568    72      29 265,132  ???:__memset_sse2 [/usr/lib/libc-2.21.so]
   814,750,369   319,574,946   271,428,601  7,579,938  7,895,616   1,816,087   140      24      20  ???:TEncSearch::xEstimateResidualQT(TComYuv*, double&, unsigned int&, unsigned int&, unsigned int*, TComTU&)'2 [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   673,772,178   171,671,145     2,050,343      5,870    996,348       8,056    46     885       2  ???:TComRdCost::xGetSAD64(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   673,430,260   209,674,522    55,700,692    172,296    679,628      19,459    21      10       .  ???:TComTrQuant::getSigCtxInc(int, TUEntropyCodingParameters const&, int, int, int, ChannelType) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   597,195,288   321,701,184    53,949,888    551,952    617,736   2,906,566    74      32     114  ???:partialButterfly16(int*, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   572,526,702   328,058,544    34,414,380    210,622    226,661   1,662,556   124      64   2,646  ???:partialButterfly32(int*, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   561,514,123   201,157,342   149,490,297  4,730,429  1,034,775   2,342,717   116      24     298  ???:TEncSbac::codeCoeffNxN(TComTU&, int*, ComponentID) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   534,946,980   166,339,188    73,361,673  1,460,690    583,629   1,596,410    73       8      93  ???:TComPrediction::xPredIntraAng(int, short const*, int, short*, int, unsigned int, unsigned int, ChannelType, ChromaFormat, unsigned int, bool, bool, bool) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   479,591,802   243,319,584    63,055,380  2,493,602    618,051   3,613,861    48       8      29  ???:partialButterfly8(int*, int*, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   469,237,586   244,739,604    49,951,758    780,477    310,662   1,241,463    44   1,374       .  ???:TComInterpolationFilter::filterVer(ComponentID, short*, int, short*, int, int, int, int, bool, bool, ChromaFormat) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   449,185,134   172,118,458   143,708,588    395,689     31,412      78,108    26       .       .  ???:TComRdCost::xGetHADs(DistParam*) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   444,128,208    94,217,372   128,787,072    172,285  2,187,291  54,569,618     0       0  17,066  ???:__memset_chk_sse2 [/usr/lib/libc-2.21.so]
   425,649,826   234,142,916    30,679,180    168,347    118,007     988,452   126      64       .  ???:partialButterflyInverse32(int*, int*, int, int, int, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
   391,143,260   145,955,164    80,420,400  5,006,379  2,948,335   2,727,346   203     149  28,270  ???:TEncSearch::xIntraCodingTUBlock(TComYuv*, TComYuv*, TComYuv*, short (*) [4096], bool, unsigned int&, ComponentID, TComTU&, int) [/home/mativi/HM-16.2/bin/TAppEncoderStatic]
