Traffic__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TEncBinCABAC::copyState	4762428528	2579648786	1984345220	6068239	564308021	234431282	8408	45877	138763	4756351881	2015294888	1749775175	8.62932747327 %	0.127419004072 %	17.5008841368 %	0.00206990407411 %	0.000176548581266 %	0.00404557937099 %
TComYuv::clear	4509891838	1165477666	1013458840	8443786	201222427	5951833	17382	163696	10510	4501430670	964091543	1007496497	3.22355478286 %	0.187228126601 %	9.50804483882 %	0.00286429835162 %	0.000385419442957 %	0.00799500120909 %
TEncSearch::xGetTemplateCost	4304833698	1850011176	1458662658	60753339	277911790	58829735	123607	1033692	13332	4243956752	1571065694	1399819591	5.22091640849 %	1.41128190453 %	10.1775376448 %	0.0153757121153 %	0.00287135366129 %	0.0316448236523 %
TComTrQuant::calcPatternSigCtx	4257187659	1721562366	202644210	6974432	13046554	0	11317	0	0	4250201910	1708515812	202644210	0.323891103509 %	0.163827215492 %	0.678022524334 %	0.000183081673321 %	0.000265832772865 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	4226425094	1793414252	591344964	25032130	283563168	11509151	49591	17205	21014	4201343373	1509833879	579814799	4.84186242571 %	0.592276674572 %	12.3732541642 %	0.00132820378139 %	0.00117335570599 %	0.00160263559288 %
partialButterflyInverse8	4181946340	2211938560	513105940	20804954	22312315	30009632	34921	7553	1864	4161106465	2189618692	483094444	1.05873748343 %	0.497494523089 %	1.92004009476 %	0.000641929329676 %	0.000835041800178 %	0.00034557233836 %
TComDataCU::setTransformSkipPartRange	4170909096	2085454548	1390303032	6032879	107463576	3172141	10942	146	150	4164865275	1977990826	1387130741	1.52574449683 %	0.144641824148 %	3.18306770405 %	0.000146965998077 %	0.000262340888956 %	8.51612902186e-06 %
fillReferenceSamples	4099787638	1155047078	550786956	76826683	56877234	76621517	36255	745120	146191	4022924700	1097424724	474019248	3.62278918405 %	1.87391859734 %	7.82601052266 %	0.0159770314431 %	0.000884314096271 %	0.0522507455142 %
TEncSbac::xCopyFrom	4066165774	1848257170	1848257170	5206526	460525130	32219263	5814	1781006	13400	4060953434	1385951034	1816024507	6.41467781343 %	0.128045099226 %	13.329973799 %	0.0231907018396 %	0.000142984824602 %	0.0485431905561 %
TEncSearch::xMotionEstimation	3979446545	1678185764	1304470165	126616313	284309193	96811141	250815	4061844	34376	3852579417	1389814727	1207624648	7.2928637419 %	3.18175684905 %	12.7778846462 %	0.0624385380168 %	0.00630276087802 %	0.137334647291 %
TComDataCU::fillMvpCand	3796008346	1168459820	1529324934	81030407	161114080	54624343	137168	5152458	30002	3714840771	1002193282	1474670589	4.57003827239 %	2.13462141318 %	7.99687308931 %	0.0819186555235 %	0.00361347993728 %	0.192100574085 %
TComTrQuant::rdpcmNxN	3763910085	1744251015	1101632220	30479870	299755507	205691148	27361	539	113384	3733402854	1444494969	895827688	8.10806781777 %	0.809792723834 %	17.7606252001 %	0.0021374949739 %	0.00072693022368 %	0.00400308061128 %
TEncSearch::xExtDIFUpSamplingQ	3619290230	1274285590	1842560135	101699678	151422100	21046553	257205	314011	7134	3517333347	1122549479	1821506448	4.07011278917 %	2.80993431135 %	5.53343566596 %	0.00858578276721 %	0.00710650386278 %	0.0103035256902 %
TComPrediction::xPredInterUni	3572555211	1418887176	1165514466	15638207	138932696	38869036	33659	611926	11345	3556883345	1279342554	1126634085	3.14181085914 %	0.437731709558 %	6.87980262473 %	0.0106697190785 %	0.000942154788717 %	0.024116646185 %
TEncSbac::estBit	3563251782	1117882912	2235765824	13738010	82661824	92907956	18891	837	26681	3549494881	1035220251	2142831187	2.73688756268 %	0.385546990235 %	5.2351869209 %	0.000670950809242 %	0.000530161806006 %	0.00082053912518 %
TComCUMvField::clearMvField	3445594938	208834104	1061521738	7871897	11700712	64485942	16245	18063	1574068	3437706796	197115329	995461728	1.78243062579 %	0.228462635384 %	5.99726875582 %	0.034105020918 %	0.000471471554037 %	0.125329529519 %
xTrMxN	3416163774	1000488296	913707055	94671866	123962044	126634189	70910	194787	70889	3321420998	876331465	787001977	6.47738906335 %	2.77129178409 %	13.0914659713 %	0.00631450887467 %	0.00207572015545 %	0.0138792521809 %
TComCUMvField::setAllMv	3227113011	977823756	612244969	10525936	64170742	63900099	34747	36980	84488	3216552328	913616034	548260382	2.87713407124 %	0.326171905481 %	8.05442173576 %	0.00324287121726 %	0.00107672089207 %	0.00763916666558 %
TEncSearch::xEstimateMvPredAMVP	3178369400	1209677094	1452823805	41623196	278585797	124329743	84621	54337	21813	3136661583	931036960	1328472249	7.61083046265 %	1.30957704287 %	15.1329729185 %	0.00275251789151 %	0.002662402929 %	0.002860092931 %
TComDataCU::getPUBelowLeft	3149895049	1595644830	600097867	30087541	204213448	48083941	97559	7723513	17352	3119709949	1383707869	551996574	5.28253023152 %	0.955191856616 %	11.4902984464 %	0.146632158265 %	0.00309721430341 %	0.352539712899 %
TComDataCU::getPULeft	3110046780	1569547344	634427709	59395545	114270126	16788784	108815	5353536	5069	3050542420	1449923682	617633856	3.58399835351 %	1.9097958713 %	5.94647883249 %	0.102886667986 %	0.00349882196949 %	0.243133650388 %
TEncSearch::xCheckBestMVP	2972647355	1154548314	629610578	29639766	89817129	6258357	77505	31542	0	2942930084	1064699643	623352221	2.64284996008 %	0.997083153848 %	5.3849175895 %	0.00229244148989 %	0.00260727192782 %	0.00176789187003 %
TComDataCU::xGetColMVP	2917848362	1271067664	421821966	23973489	411239456	18479827	67396	13000795	3104	2893807477	846827413	403339035	9.83991657707 %	0.821615314634 %	25.3837743102 %	0.283496807294 %	0.00230978418473 %	0.768148068814 %
QpParam::QpParam	2889936407	1290188039	878502141	43493737	308368433	10550432	21938	3683913	0	2846420732	978135693	867951709	7.16424894716 %	1.50500671553 %	14.7055982427 %	0.0732580461567 %	0.000759117050011 %	0.169868109054 %
