Traffic__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComYuv::copyToPartComponent	1815769153	649606558	457853800	9447467	17544883	1905020	28724	59467	341	1806292962	632002208	455948439	0.988542633798 %	0.5203011068 %	1.75626178034 %	0.0030285682211 %	0.00158191915269 %	0.00540046418528 %
TEncSbac::load	1706620668	568873556	711091945	4210798	82341934	5735114	9693	0	42	1702400177	486531622	705356789	3.0900781286 %	0.246733095348 %	6.8812048396 %	0.000325957446031 %	0.000567964526725 %	3.28133843976e-06 %
TEncEntropy::estimateBit	1676824368	768544502	558941456	5029004	48067099	5705090	14037	27438	0	1671781327	720449965	553236366	1.95722767023 %	0.299912387724 %	4.05067855339 %	0.00138051650793 %	0.000837118082721 %	0.00206691451873 %
TComYuv::copyPartToPartYuv	1675201536	366450336	471150432	8604902	5878810	5953539	17692	3804	748	1666578942	360567722	465196145	0.813325066101 %	0.513663688522 %	1.41264782126 %	0.000885226822842 %	0.00105611173461 %	0.000543456999314 %
TEncEntropy::encodeCoeffNxN	1673142684	941350195	462587573	21881769	37936858	65235357	11769	3987	26992	1651249146	903409350	397325224	4.06404661661 %	1.30782444374 %	7.34877409466 %	0.00138923894473 %	0.000703406835086 %	0.00220657928764 %
TEncSearch::estIntraPredQT	1618971081	562357906	780016230	37478398	82682273	34222663	51483	290243	5112	1581441200	479385390	745788455	5.21328391954 %	2.31495166528 %	8.70881916336 %	0.011712177223 %	0.00317998268185 %	0.0220024352436 %
TEncSearch::xGetInterPredictionError	1610334208	503229440	718899200	17536737	74688664	45025583	44656	48386	26326	1592752815	428492390	673847291	4.84564110336 %	1.08901226297 %	9.79555204598 %	0.00421428298995 %	0.00277308895123 %	0.00611326807626 %
TEncSearch::xEncodeResidualQT	1583242796	732027294	518745921	31872543	63447255	32263734	64467	99521	3300	1551305786	668480518	486478887	4.50186348647 %	2.01311782883 %	7.65214571692 %	0.00590286008797 %	0.0040718328334 %	0.00822059497013 %
TComDataCU::xAddMVPCandOrder	1582755427	501820442	366595944	33395357	88945901	4284090	58652	3162714	3996	1549301418	409711827	362307858	5.1659107423 %	2.10995056029 %	10.7356324112 %	0.13158449289 %	0.00370568939455 %	0.364653414082 %
TEncSearch::xRecurIntraCodingQT	1519571668	615770475	485950716	88706996	123095390	46903543	48017	2866919	20565	1430816655	489808166	439026608	9.8694019675 %	5.83763160817 %	15.4303043627 %	0.111986762178 %	0.00315990361042 %	0.262088450652 %
TComCUMvField::setAllMvField	1510368268	612311460	775594516	14310124	2763101	100448	22215	4329	0	1496035929	609544030	775494068	0.5925482392 %	0.947459258989 %	0.206321541194 %	0.000915855359614 %	0.00147083333718 %	0.000311908736965 %
TComTU::GetEquivalentLog2TrSize	1485902583	675410265	135082053	8565789	56645520	0	6468	0	0	1477330326	618764745	135082053	2.83972538746 %	0.576470429354 %	6.98902614398 %	0.000281658873096 %	0.000435290985694 %	0.0 %
TComDataCU::getPUAboveRight	1412146306	696282626	256352307	22231878	118921597	7212200	84600	4806094	380	1389829828	572554935	249139727	6.27397040171 %	1.5743324828 %	13.2405177084 %	0.20682987159 %	0.00599088066446 %	0.504545218058 %
TEncSbac::codeLastSignificantXY	1404833481	551307992	313229595	26138549	36952572	710187	26206	44104	4	1378668726	514311316	312519404	2.8114092446 %	1.86061546465 %	4.35640503852 %	0.00309839148791 %	0.00186541681661 %	0.00510191814251 %
TComDataCU::setMVPIdxSubParts	1403568240	649957025	367815811	21304625	149519047	9301196	47730	8735286	0	1382215885	491702692	358514615	7.43905391047 %	1.51789021672 %	15.6046847963 %	0.362733531722 %	0.0034006184124 %	0.858274625832 %
TComDataCU::getCtxQtCbf	1400092296	730258876	0	14311488	17235785	0	12957	0	0	1385767851	713023091	0	1.48084848238 %	1.02218175479 %	2.3602294428 %	0.000608209583955 %	0.000925438989774 %	0.0 %
TEncSearch::xPatternSearchFracDIF	1393253391	489521463	615039786	22732940	78368342	51940051	50376	33803	18712	1370470075	411119318	563081023	6.12700920834 %	1.6316443331 %	11.7972989835 %	0.00411924080964 %	0.00361570984326 %	0.00475437645921 %
TComDataCU::setMVPNumSubParts	1353106337	626537949	355161282	5721405	84394629	9045196	38946	20257	0	1347345986	542123063	346116086	4.24708726753 %	0.422834838885 %	9.51817237392 %	0.00253567152706 %	0.00287826602648 %	0.00206346295895 %
TComDataCU::xGetDistScaleFactor	1201509402	231531951	66151986	9083339	0	0	16475	0	0	1192409588	231531951	66151986	0.605881760791 %	0.755994000952 %	0.0 %	0.00109892430625 %	0.00137119193346 %	0.0 %
fastInverseDst	1195114500	592245630	154036980	7651647	2701674	10211181	9043	579	399	1187453810	589543377	143825400	1.05926303764 %	0.640243842745 %	1.73029021807 %	0.000516174663513 %	0.000756663901241 %	0.000131049549714 %
TEncEntropy::encodeQtCbf	1175450906	671686232	419803895	6130292	21471914	5393426	5745	489	3538	1169314869	650213829	414406931	1.45551346593 %	0.521526842908 %	2.4613452138 %	0.000431065469183 %	0.000488748613037 %	0.000368945160417 %
TEncSearch::xSetSearchRange	1156985532	385661844	492790134	13042790	688553	10948999	30630	558	0	1143912112	384972733	481841135	1.21253253312 %	1.12730796015 %	1.32477953166 %	0.00153225043003 %	0.00264739697713 %	6.35208314142e-05 %
TComPrediction::motionCompensation	1132190785	329960302	496333367	27170720	22711354	7782530	76659	19348	0	1104943406	307229600	488550837	2.94434831393 %	2.39983581919 %	3.6904414428 %	0.0049021068206 %	0.00677085532011 %	0.00234154039004 %

RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	125607018808	48788943356	31922871880	857910062	4031578558	1877194485	507586	8812680	2635772	1873045977085	309408499555	177429648226	3.27972147398 %	0.683011244229 %	7.32082784376 %	0.00579493290344 %	0.000404106398525 %	0.0141843569823 %
